2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-1605; I § 7, nr. 24, ændres »lov om folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler« til: »lov om folkehøjskoler og lov om efterskoler, husholdningsskoler og håndarbejdsskoler«.
2013-1606; I lovens titel udgår »vandforekomster og«.
2013-1606; I § 1 udgår »for beskyttelsen af overfladevand og grundvand samt«.
2013-1606; Overskriften til afsnit II ophæves.
2013-1606; Kapitel 2-5, §§ 10-12 og 14-21 og kapitel 7-11 ophæves.
2013-1606; § 3, stk. 3, affattes således:
2013-1606; § 13 ophæves.
2013-1606; §§ 51 og 52 og § 52 a, stk. 2, ophæves.
2013-1606; § 53, nr. 1 og 2, ophæves.
2013-1606; I § 57, stk. 2, udgår »§ 31 c og«.
2013-1606; Bilag 1 ophæves.
2013-1606; Bilag 2 ophæves.
2013-1609; § 61 a affattes således:
2013-1609; Efter § 63 c indsættes:
2013-1609; I § 64, stk. 2, 1. pkt., ændres »§ 56 og §§ 58 a-58 c« til: »og §§ 56, 58 a-58 c, 63 d og 63 e«.
2013-1609; I § 64, stk. 2, indsættes som 3. pkt.:
2013-1609; I § 64, stk. 4, ændres »og § 62« til: »og §§ 62, 63 d og 63 e«.
2013-1610; Efter kapitel 9 a indsættes:
2013-1610; I § 74 a indsættes efter stk. 10 som nye stykker:
2013-1610; I § 74 l, stk. 1, indsættes som 2. pkt.:
2013-1610; I § 79, stk. 1, og § 81, stk. 1, nr. 3, ændres »kapitel 9 og 9 a« til: »kapitel 9, 9 a og 9 b«.
2013-1610; § 100 b affattes således:
2013-1610; Efter § 32 a indsættes:
2013-1610; Efter kapitel 13 c indsættes i Afsnit IV:
2013-1610; § 14, stk. 2-5, ophæves.
2013-1610; I § 45, stk. 4, udgår »jf. § 14, stk. 3,«.
2013-1610; I § 47, stk. 1, indsættes som 2. pkt.:
2013-1610; I § 2 a, stk. 1, indsættes som 2. pkt.:
2013-1610; I § 2, stk. 1, ændres »danskuddannelse« til: », jf. dog stk. 2, arbejdsmarkedsrettet danskundervisning, jf. § 2 c,«.
2013-1610; § 2, stk. 2, affattes således:
2013-1610; § 2, stk. 3, affattes således:
2013-1610; I § 2, stk. 5, ændres »efter stk. 1 inden for 3 år, danskuddannelse« til: »om danskuddannelse eller arbejdsmarkedsrettet danskundervisning, undervisning«.
2013-1610; I § 2, stk. 6, ændres »treårige periode, jf. stk. 1« til: »samlede uddannelsesperiode, jf. stk. 2 og § 2 c, stk. 1 og 3«.
2013-1610; § 2 b, stk. 1, ophæves.
2013-1610; I overskriften til kapitel 2 indsættes efter »Danskuddannelsernes«: »og arbejdsmarkedsrettet danskundervisnings«.
2013-1610; Efter § 2 b indsættes i kapitel 2:
2013-1610; I § 3, stk. 1 og 2, ændres »§ 2, stk. 1,« til: »§ 2, stk. 2, og § 2 c, stk. 3,«.
2013-1610; I § 5, stk. 1, to steder i § 5, stk. 2, i § 6, stk. 1, to steder i § 6, stk. 2, i § 6, stk. 5, § 10, stk. 3 og 4, § 11, stk. 2, og § 14, stk. 2, to steder i § 15, stk. 1, i § 16, stk. 1, og to steder i § 19 indsættes efter »danskuddannelse«: »eller arbejdsmarkedsrettet danskundervisning«.
2013-1610; I § 8 ændres »§§ 2 og 16 b« til: »§ 2, stk. 1 og 2«.
2013-1610; I overskriften til kapitel 4 indsættes efter »danskuddannelse«: »og arbejdsmarkedsrettet danskundervisning«.
2013-1610; I § 10, stk. 1, indsættes efter »Danskuddannelserne«: »og arbejdsmarkedsrettet danskundervisning«.
2013-1610; To steder i § 10, stk. 2, indsættes efter »udbyde«: »arbejdsmarkedsrettet danskundervisning eller«.
2013-1610; § 11, stk. 1, affattes således:
2013-1610; I § 11 a indsættes som stk. 3:
2013-1610; I § 13, stk. 3, 1. pkt., ændres »nr. 2-4« til: »nr. 1-4«.
2013-1610; I § 13 indsættes efter stk. 4 som nyt stykke:
2013-1610; § 16 b ophæves.
2013-1610; I § 18, stk. 1, indsættes efter »danskuddannelserne«: »eller arbejdsmarkedsrettet danskundervisning«.
2013-1610; I § 18 a, stk. 1, ændres »§ 2 a og § 16 b, stk. 1,« til: »og § 2 a«.
2013-1610; I § 16, stk. 2, nr. 1, indsættes efter »§ 21,«: »og«, og nr. 2 ophæves.
2013-1610; I § 16, stk. 3, nr. 1, indsættes efter »§ 21,«: »og«, og nr. 2 ophæves.
2013-1610; I § 16, stk. 6, indsættes efter 1. pkt.:
2013-1610; I § 16, stk. 8, udgår », og kursus i danske samfundsforhold og dansk kultur og historie, jf. § 22«.
2013-1610; I § 19, stk. 4, 2. pkt., udgår »kursus i danske samfundsforhold og dansk kultur og historie, jf. § 22,«.
2013-1610; I § 20, stk. 1, 8. pkt., udgår »eller kursus i danske samfundsforhold og dansk kultur og historie, jf. § 22,«.
2013-1610; § 22 ophæves.
2013-1610; I § 24 c, stk. 2, nr. 1, indsættes efter »§ 24 d,«: »og«, og nr. 2 ophæves.
2013-1610; § 24 e ophæves.
2013-1610; I § 45, stk. 4, 1. pkt., udgår »kursus i danske samfundsforhold og dansk kultur og historie, jf. § 22,«.
2013-1610; I § 45, stk. 4, 2. pkt., ændres »77.011 kr.« til: »73.000 kr.«
2013-1610; I § 45, stk. 5, 1. pkt., udgår »kursus i danske samfundsforhold og dansk kultur og historie, jf. § 24 e,«.
2013-1610; I § 45, stk. 5, indsættes efter 1. pkt.:
2013-1610; I § 45, stk. 5, 2. pkt., der bliver 3. pkt., ændres »77.011 kr.« til: »50.000 kr.«
2013-1610; I § 48, stk. 1, ændres »stk. 3-7« til: »stk. 3, 6 og 7«.
2013-1610; I § 48, stk. 1, indsættes som 2. pkt.:
2013-1610; I § 48, stk. 2, indsættes efter »Social-, børne- og integrationsministeren«: »og beskæftigelsesministeren«.
2013-1610; I § 1, stk. 2, nr. 6, udgår »eller«.
2013-1610; I § 1, stk. 2, nr. 7, ændres »aktivitetsparate.« til: »aktivitetsparate, eller«.
2013-1610; I § 1, stk. 2, indsættes som nr. 8:
2013-1610; I § 14, stk. 2, nr. 5, indsættes efter »driftsudgifter til aktivering af sygedagpengemodtagere«: », modtagere af den midlertidige arbejdsmarkedsydelse«.
2013-1610; I § 23 a, stk. 3, indsættes efter »undervisningsmaterialer til forsikrede ledige og beskæftigede«: »samt kommunernes nettoudgifter til den midlertidige arbejdsmarkedsydelse, befordringsgodtgørelse og tilskud til arbejdsgivere, der ansætter modtagere af den midlertidige arbejdsmarkedsydelse i løntilskudsjob«.
2013-1610; I § 3, stk. 1, nr. 2, udgår »efter sygdom«.
2013-1610; I § 2, stk. 1, indsættes som 2. pkt.:
2013-1610; § 2, stk. 2, 2. pkt., affattes således:
2013-1610; I § 2 indsættes efter stk. 2 som nyt stykke:
2013-1610; I § 32, stk. 1, indsættes efter nr. 2 som nyt nummer:
2013-1610; I § 32, stk. 2, indsættes efter nr. 4 som nyt nummer:
2013-1610; I § 33, nr. 3, indsættes efter »i § 32, stk. 1, nr. 2«: »og 3«.
2013-1610; I § 35 indsættes efter stk. 3 som nyt stykke:
2013-1610; I § 38, stk. 4, indsættes efter »arbejdsløshedskasse«: »eller modtager midlertidig arbejdsmarkedsydelse«.
2013-1610; § 40 a, stk. 1, affattes således:
2013-1610; I § 51, 1. pkt., indsættes efter »arbejdsløshedsdagpenge«: »eller midlertidig arbejdsmarkedsydelse«.
2013-1610; I § 53, stk. 2, nr. 2, indsættes efter »arbejdsløshedsdagpengemodtagere«: »eller modtagere af midlertidig arbejdsmarkedsydelse«.
2013-1610; I § 27, stk. 1, indsættes efter nr. 2 som nyt nummer:
2013-1610; I § 27, stk. 2, indsættes efter nr. 4 som nyt nummer:
2013-1610; I § 29, stk. 2, indsættes efter »i § 27, stk. 1, nr. 2«: »og 3«.
2013-1610; I § 36 indsættes efter »arbejdsløshedsdagpenge«: »eller midlertidig arbejdsmarkedsydelse«.
2013-1610; I § 11 indsættes som stk. 5:
2013-1610; I § 15 indsættes som stk. 5:
2013-1611; § 62, stk. 7, ophæves.
2013-1612; I § 12 indsættes efter stk. 1 som nye stykker:
2013-1612; I § 23, stk. 2, nr. 1, 2 og 3, og § 23, stk. 5, ændres »modtager ekstra børnetilskud« til: »har erhvervet ret til ekstra børnetilskud«.
2013-1612; I § 23, stk. 4, 1. pkt., indsættes efter »efter«: »stk. 2, nr. 5, og«.
2013-1612; I § 25, stk. 3, nr. 1, 2 og 3, og § 25, stk. 6, ændres »modtager ekstra børnetilskud« til: »har erhvervet ret til ekstra børnetilskud«.
2013-1612; I § 25, stk. 5, 1. pkt., indsættes efter »efter«: »stk. 2, nr. 1, stk. 3, nr. 5, og«.
2013-1612; I § 68, stk. 2, nr. 3, ændres »§ 25, stk. 1, nr. 4,« til: »§ 23, stk. 2, nr. 10, og § 24, stk. 2, nr. 7, eller § 25, stk. 3, nr. 10,«.
2013-1612; I § 68, stk. 2, nr. 4, ændres »§ 25, stk. 1, nr. 4,« til: »§ 23, stk. 2, nr. 10, og § 24, stk. 2, nr. 7, eller § 25, stk. 3, nr. 10,«, og efter »beregnes efter« indsættes: »§ 23, stk. 3, eller«.
2013-1612; I § 89 indsættes som stk. 3 og 4:
2013-1612; I § 106 indsættes som 4. pkt.:
2013-1612; Efter § 42 indsættes:
2013-1612; I § 44, stk. 1, nr. 4, ændres »nr. 3-7 og 11« til: »nr. 3-7, 11 og 13«.
2013-1612; § 49 a ophæves.
2013-1612; I § 50 indsættes som 2. pkt.:
2013-1612; I § 75 a, stk. 2, ændres »ikke har andre problemer end ledighed« til: »er jobparate«, og »stk. 4 og 5« ændres til: »stk. 4-7«.
2013-1612; I § 75 a, stk. 3, ændres »har andre problemer end ledighed« til: »er aktivitetsparate«, og »stk. 4 og 5« ændres til: »stk. 4-7«.
2013-1612; I § 75 a indsættes efter stk. 4 som nye stykker:
2013-1612; I § 75 a, stk. 5, der bliver stk. 7, ændres »Bestemmelserne om ydelser m.v. efter § 38 og § 45« til: »Bestemmelserne i §§ 32 a, 38, 45 og 52 a«.
2013-1612; I § 23 c, stk. 3, 1. pkt., indsættes efter »§§ 54, 55 og 59 om løn- og arbejdsvilkår«: », jf. dog stk. 4«.
2013-1612; I § 23 c indsættes som stk. 4:
2013-1612; I § 60, stk. 6, ændres »tilmeldtes cv-oplysninger« til: »cv-oplysninger for personer, der efter § 13, stk.1, og § 73 d, stk. 2, i lov om en aktiv beskæftigelsesindsats har pligt til at indlægge et cv i Jobnet«, og »sagsbehandling i jobcentrene« ændres til: »sagsbehandling i kommunerne vedrørende beskæftigelsesindsatsen«.
2013-1612; Efter kapitel 4 indsættes:
2013-1612; § 1, nr. 15, ophæves.
2013-1612; § 1, nr. 80, ophæves.
2013-1612; § 1, nr. 81, ophæves.
2013-1612; § 1, nr. 66, ophæves.
2013-1612; § 1, nr. 70, ophæves.
2013-1612; § 1, nr. 77, ophæves.
2013-1612; § 2, nr. 18, ophæves.
2013-1613; I § 1, stk. 2, ændres »finansielle holdingvirksomheder« til: »finansielle holdingvirksomheder og forsikringsholdingvirksomheder«, og »§ 71, stk. 1, nr. 9, og stk. 2« ændres til: »§§ 70 og 71«.
2013-1613; I § 1, stk. 2, udgår »§ 124, stk. 2, nr. 1, § 125, stk. 2, nr. 1,«.
2013-1613; I § 1, stk. 2, indsættes som 2. og 3. pkt.:
2013-1613; I § 1, stk. 17, ændres »nr. 24 og 25,« til: »nr. 27 og 28,«.
2013-1613; I § 5, stk. 1, nr. 10, litra a, ændres »jf. dog stk. 7, eller« til: »jf. dog 2. pkt. og stk. 7. En modervirksomhed er ikke en finansiel holdingvirksomhed, hvis de finansielle virksomheder i koncernen udelukkende er forsikringsvirksomheder.«
2013-1613; I § 5, stk. 1, nr. 10, litra b, ændres »en modervirksomhed« til: »En modervirksomhed«.
2013-1613; I § 5, stk. 1, indsættes efter nr. 12 som nye numre:
2013-1613; I § 5, stk. 1, indsættes efter nr. 22, der bliver nr. 24, som nyt nummer:
2013-1613; I § 5, stk. 3, § 61, stk. 1, 2. pkt., § 61 a, stk. 1, nr. 2, og § 61 c, stk. 2, tre steder i § 63, stk. 4, og i § 347, stk. 3, ændres »den finansielle virksomhed eller den finansielle holdingvirksomhed« til: »den finansielle virksomhed, den finansielle holdingvirksomhed eller forsikringsholdingvirksomheden«.
2013-1613; I § 14, stk. 1, nr. 4, ændres »nr. 17,« til: »nr. 19,«.
2013-1613; I § 43, stk. 1, § 61 c, stk. 2, § 63, stk. 2, § 77 c, stk. 1, § 77 d, stk. 3, § 183, stk. 1, 1. pkt., og stk. 4, § 198, stk. 1, § 199, stk. 1, 1. pkt., og § 361, stk. 1, nr. 10, ændres »Finansielle virksomheder og finansielle holdingvirksomheder« til: »Finansielle virksomheder, finansielle holdingvirksomheder og forsikringsholdingvirksomheder«.
2013-1613; I § 61, stk. 1, 1. pkt., § 61 b, § 61 c, stk. 1, § 62, stk. 1, § 120, stk. 1, 1. pkt., § 199, stk. 2, § 373, stk. 3, og § 374, stk. 4, 1. pkt., ændres »en finansiel virksomhed eller en finansiel holdingvirksomhed« til: »en finansiel virksomhed, en finansiel holdingvirksomhed eller en forsikringsholdingvirksomhed«.
2013-1613; I § 61 a, stk. 1, nr. 3, ændres »den finansielle virksomhed eller finansielle holdingvirksomhed« til: »den finansielle virksomhed, den finansielle holdingvirksomhed eller forsikringsholdingvirksomheden«.
2013-1613; I § 63, stk. 1, 1. pkt., § 77 a, stk. 1, 1. pkt., og § 197 ændres »finansielle virksomheders og finansielle holdingvirksomheders« til: »finansielle virksomheders, finansielle holdingvirksomheders og forsikringsholdingvirksomheders«.
2013-1613; I § 64, stk. 4, og § 77 c, stk. 2, 2. pkt., ændres »en finansiel holdingvirksomhed« til: »en finansiel holdingvirksomhed eller en forsikringsholdingvirksomhed«.
2013-1613; I § 70, stk. 1, og § 71, stk. 1, indsættes efter »finansiel virksomhed«: », en finansiel holdingvirksomhed og en forsikringsholdingvirksomhed«.
2013-1613; To steder i § 70, stk. 2, og i § 70, stk. 3 og 4, ændres »den finansielle virksomhed« til: »virksomheden«.
2013-1613; I § 70, stk. 2, nr. 4, ændres »den finansielle virksomheds« til: »virksomhedens«.
2013-1613; I § 71, stk. 2, ændres »en finansiel virksomhed og finansielle holdingvirksomheder« til: »en finansiel virksomhed, en finansiel holdingvirksomhed og en forsikringsholdingvirksomhed«.
2013-1613; § 71, stk. 3, ophæves.
2013-1613; I § 75, stk. 4, § 77 a, stk. 2, § 77 b, stk. 1, § 79 a, stk. 1, § 199, stk. 9, og § 345, stk. 2, nr. 1, ændres »finansielle virksomheder og finansielle holdingvirksomheder« til: »finansielle virksomheder, finansielle holdingvirksomheder og forsikringsholdingvirksomheder«.
2013-1613; I § 77 a, stk. 3-5 og stk. 6, 1. pkt., og § 374, stk. 5, ændres »Den finansielle virksomhed eller finansielle holdingvirksomhed« til: »Den finansielle virksomhed, den finansielle holdingvirksomhed eller forsikringsholdingvirksomheden«.
2013-1613; I § 77 d, stk. 1 og stk. 2, 1. pkt., ændres »en finansiel virksomhed eller finansiel holdingvirksomhed« til: »en finansiel virksomhed, en finansiel holdingvirksomhed eller en forsikringsholdingvirksomhed«.
2013-1613; I § 77 d, stk. 4, ændres »de finansielle virksomheder og finansielle holdingvirksomheders« til: »de finansielle virksomheder, finansielle holdingvirksomheder og forsikringsholdingvirksomheders«.
2013-1613; I § 117, stk. 1, 2. pkt., ændres »finansielle holdingvirksomheder« til: »finansielle holdingvirksomheder og forsikringsholdingvirksomheder«.
2013-1613; I § 120 a, stk. 1, 2. pkt., tre steder i § 343 q, stk. 1, og i § 346, stk. 5, og § 347, stk. 1, 1. pkt., indsættes efter »finansielle holdingvirksomheder«: », forsikringsholdingvirksomheder«.
2013-1613; I § 145, stk. 1, 1. pkt., ændres »nr. 16« til: »nr. 18«.
2013-1613; Efter § 152 h indsættes før overskriften før § 153:
2013-1613; Efter § 170 indsættes:
2013-1613; I § 175 a, stk. 1, ændres »nr. 16,« til: »nr. 18,«.
2013-1613; I § 176, stk. 1, og § 346, stk. 2, 1. pkt., ændres »eller en finansiel holdingvirksomhed« til: », en finansiel holdingvirksomhed eller en forsikringsholdingvirksomhed«.
2013-1613; I § 176, stk. 2, ændres »eller den finansielle holdingvirksomheds« til: », den finansielle holdingvirksomheds eller forsikringsholdingvirksomhedens«.
2013-1613; I §§ 179 og 180 indsættes efter »en finansiel holdingvirksomhed«: »eller en forsikringsholdingvirksomhed«.
2013-1613; I § 179, nr. 1, og § 180, nr. 1, indsættes efter »§ 170«: »eller § 170 a«.
2013-1613; I § 181, stk. 1, nr. 2, ændres »§ 5, stk. 1, nr. 17,« til: »§ 5, stk. 1, nr. 19,«.
2013-1613; I § 199, stk. 2, 1. pkt., ændres »eller i en finansiel holdingvirksomhed« til: », i en finansiel holdingvirksomhed eller i en forsikringsholdingvirksomhed«.
2013-1613; I § 199, stk. 7 og stk. 8, 1. pkt., indsættes efter »i en finansiel holdingvirksomhed«: », i en forsikringsholdingvirksomhed«.
2013-1613; I § 199, stk. 12, 1. pkt., indsættes efter »i finansielle holdingvirksomheder«: », i forsikringsholdingvirksomheder«.
2013-1613; § 216, stk. 2, 1. pkt., affattes således:
2013-1613; I § 224 indsættes efter stk. 3 som nyt stykke:
2013-1613; I § 226, stk. 1, ændres »§ 224, stk. 1, 2, 4 og 5,« til: »§ 224, stk. 1, 2, 5 og 6,«.
2013-1613; I § 226, stk. 2, ændres »§ 224, stk. 2 og 4,« til: »§ 224, stk. 2 og 5,«.
2013-1613; I § 253, stk. 1, ændres »§ 224, stk. 1, nr. 1 og 2, og stk. 5,« til: »§ 224, stk. 1, nr. 1 og 2, og stk. 6,«.
2013-1613; I § 337, stk. 2, ændres »nr. 22-25« til: »nr. 24 og 26-28«.
2013-1613; I § 344, stk. 8, § 347, stk. 2, § 347 b, stk. 1, 1. pkt., § 350, stk. 4, og § 355, stk. 2, nr. 1, og stk. 3, 1. pkt., indsættes efter »en finansiel holdingvirksomhed«: », en forsikringsholdingvirksomhed«.
2013-1613; I § 346, stk. 1, 1. pkt., indsættes efter »finansielle holdingvirksomheders«: », forsikringsholdingvirksomheders«.
2013-1613; I § 347, stk. 3, og § 373, stk. 6, ændres »eller en finansiel holdingvirksomheds« til: », en finansiel holdingvirksomheds eller en forsikringsholdingvirksomheds«.
2013-1613; I § 347 b, stk. 1, stk. 2, 2. pkt., stk. 3, 4 og 6, og § 355, stk. 1, indsættes efter »den finansielle holdingvirksomhed«: », forsikringsholdingvirksomheden«.
2013-1613; I § 361, stk. 1, nr. 5, indsættes efter »finansiel holdingvirksomhed«: »og forsikringsholdingvirksomhed«.
2013-1613; I § 373, stk. 2, 1. pkt., indsættes efter »§ 152 g, stk. 1, 1. og 3. pkt., stk. 2 og stk. 4, 1. pkt.,«: »§ 152 j, stk. 1, 2. pkt., eller stk. 2, § 152 k, stk. 1, 2 eller 5, § 152 m, stk. 1,«.
2013-1613; I § 373, stk. 3, 1. pkt., indsættes efter »der er givet i medfør af«: »§ 152 k, stk. 4,«.
2013-1613; Efter kapitel 2 indsættes:
2013-1613; Efter § 57 e indsættes i kapitel 18:
2013-1613; § 58 f, stk. 2, 2. pkt., ophæves.
2013-1613; I § 16 e indsættes efter stk. 3 som nyt stykke:
2013-1613; I § 16 n indsættes som stk. 6:
2013-1613; § 47 c, stk. 2, 2. pkt., affattes således:
2013-1613; § 47 d, stk. 2, 2. pkt., affattes således:
2013-1614; § 3 affattes således:
2013-1614; I § 4 indsættes før stk. 1 som nyt stykke:
2013-1614; I § 4, stk. 1 , 1. pkt., der bliver stk. 2, 1. pkt., ændres »erhvervsakademiuddannnelser og efter- og videreuddannelser« til: »videregående tekniske og merkantile uddannelser«.
2013-1614; I § 4, stk. 2, der bliver stk. 3, ændres »behov for en eller flere af de nævnte uddannelser« til: »behov for en eller flere videregående tekniske og merkantile uddannelser«, og »for en eller flere af de nævnte uddannelser« udgår.
2013-1614; § 5 affattes således:
2013-1614; § 6 ophæves.
2013-1614; I § 8 ændres », udviklingsarbejde og videncenterfunktion« til: »og forsknings- og udviklingsaktiviteter«.
2013-1614; § 12, stk. 3, 2. pkt., ophæves.
2013-1614; I § 12, stk. 4, ændres »§ 4, stk. 3, og § 13, stk. 2,« til: »§ 4, stk. 4,«, og »§ 13, stk. 2, og« udgår.
2013-1614; § 12, stk. 8, 2. pkt., ophæves.
2013-1614; § 13, stk. 2 og 3, ophæves.
2013-1614; § 14, stk. 1-5, affattes således:
2013-1614; § 14, stk. 7, ophæves.
2013-1614; Overskriften før § 15 ophæves.
2013-1614; §§ 15 og 16 ophæves.
2013-1614; I § 19, stk. 4, nr. 1, og stk. 5, udgår », herunder de uddannelser, der gennemføres som udlagt undervisning, jf. § 3, stk. 1, 2. pkt.,«.
2013-1614; § 20 affattes således:
2013-1614; I § 24, stk. 2, ændres »udviklingsarbejde, videncenterfunktioner« til: »forsknings- og udviklingsaktiviteter«.
2013-1614; § 36, stk. 4, 2. og 3. pkt., ophæves.
2013-1614; § 49, stk. 2, ophæves.
2013-1614; Overskriften før § 50 ophæves.
2013-1614; §§ 50-55 ophæves.
2013-1614; § 3 affattes således:
2013-1614; § 4, stk. 1-3, ophæves, og i stedet indsættes:
